function,Parameter,Value,period,Desc
calc_income_tax,tax_free,18200,year,Tax-free threshold
calc_income_tax,tax_threshold_1,37000,year,First-tax threshold
calc_income_tax,tax_threshold_2,87000,year,Second-tax threshold
calc_income_tax,tax_threshold_3,180000,year,Third-tax threshold
calc_income_tax,tax_rate_1,0.19,year,First-tax rate
calc_income_tax,tax_rate_2,0.325,year,Second-tax rate
calc_income_tax,tax_rate_3,0.37,year,Third-tax rate
calc_income_tax,tax_rate_4,0.45,year,Top-tax rate
calc_income_tax,LITO_on,1,year,Low Income Tax Offset On
calc_income_tax,LITO_thresh_1,37500,year,First-Low Income Tax Offset threshold
calc_income_tax,LITO_thresh_2,45000,year,Second-Low Income Tax Offset threshold
calc_income_tax,LITO_gross,445,year,Maximum Low Income Tax Offset refund
calc_income_tax,LITO_rate_1,0.015,year,First abatement rate Low Income Tax Offset
calc_income_tax,LITO_rate_2,0.015,year,Second abatement rate Low Income Tax Offset
calc_income_tax,LMITO_on,0,year,Low and Middle Income Tax Offset On
calc_income_tax,LMITO_thresh_1,37000,year,First-LMITO threshold
calc_income_tax,LMITO_thresh_2,48000,year,Second-LMITO threshold
calc_income_tax,LMITO_thresh_3,90000,year,Third-LMITO threshold
calc_income_tax,LMITO_gross,255,year,Base LMITO until first threshold
calc_income_tax,LMITO_inc_rate,0.075,year,Credit LMITO rate between first and second threshold
calc_income_tax,LMITO_max,1080,year,Maximum LMITO refund
calc_income_tax,LMITO_dec_rate,0.03,year,Abatement rate LMITO after third threshold
calc_income_tax,BRL_on,1,year,Budget Repair Levy On
calc_income_tax,BRL_thresh,180000,year,Budget Repair Levy threshold
calc_income_tax,BRL_rate,0.02,year,Budget Repair Levy rate
calc_income_tax,BTO_thresh,6000,year,Beneficiary tax offset threshold
calc_income_tax,BTO_rate,0.15,year,Beneficiary tax offset rate
calc_rent_assistance,rent_max_single_la,289.87,fortnight,Rent ceiling single no dependents (lowest rent that provides the max rental assistance payment)
calc_rent_assistance,rent_min_single_la,116,fortnight,Rent threshold single no dependents (min rent to be eligible for rent assistance)
calc_rent_assistance,rent_max_single_share,231.91,fortnight,Rent ceiling single shared no dependents (lowest rent that provides the max rental assistance payment)
calc_rent_assistance,rent_min_single_share,116,fortnight,Rent threshold single shared no dependents (min rent to be eligible for rent assistance)
calc_rent_assistance,rent_max_couple,357.13,fortnight,Rent ceiling couple no dependents (lowest rent that provides the max rental assistance payment)
calc_rent_assistance,rent_min_couple,191,fortnight,Rent threshold couple no dependents (min rent to be eligible for rent assistance)
calc_rent_assistance,rent_max_single_dep1,356.63,fortnight,Rent ceiling single 1-2 dependents (lowest rent that provides the max rental assistance payment)
calc_rent_assistance,rent_min_single_dep1,152.6,fortnight,Rent threshold single 1-2 dependents (min rent to be eligible for rent assistance)
calc_rent_assistance,rent_max_couple_dep1,429.85,fortnight,Rent ceiling couple 1-2 dependents (lowest rent that provides the max rental assistance payment)
calc_rent_assistance,rent_min_couple_dep1,225.82,fortnight,Rent threshold couple 1-2 dependents (min rent to be eligible for rent assistance)
calc_rent_assistance,rent_max_single_dep3,383.13,fortnight,Rent ceiling single 3+ dependents (lowest rent that provides the max rental assistance payment)
calc_rent_assistance,rent_min_single_dep3,152.6,fortnight,Rent threshold single 3+ dependents (min rent to be eligible for rent assistance)
calc_rent_assistance,rent_max_couple_dep3,456.35,fortnight,Rent ceiling couple 3+ dependents (lowest rent that provides the max rental assistance payment)
calc_rent_assistance,rent_min_couple_dep3,225.82,fortnight,Rent threshold couple 3+ dependents (min rent to be eligible for rent assistance)
calc_rent_assistance,ra_rate,0.75,fortnight,Rental Assistance given per dollar of rent between the threshold and ceiling.
calc_energy_supp,energy_partnered,7.9,fortnight,JSP Energy Supplement for coupled individual
calc_energy_supp,energy_single,8.8,fortnight,JSP Energy Supplement for single no dependent individual
calc_energy_supp,energy_over60,9.5,fortnight,JSP Energy Supplement for over 60 individual
calc_energy_supp,energy_single_dep,9.5,fortnight,JSP Energy Supplement for single with dependent(s) individual
calc_main_benefit,JSP_S_ND_pay,527.6,fortnight,JSP Basic Rate Single no dependent
calc_main_benefit,JSP_S_D_pay,570.8,fortnight,JSP Basic Rate Single with dependent(s)
calc_main_benefit,JSP_S_Age_pay,570.8,fortnight,JSP over 60 Rate Single
calc_main_benefit,JSP_C_ND_pay,476.4,fortnight,JSP Basic Rate Coupled no dependent
calc_main_benefit,JSP_C_D_pay,476.4,fortnight,JSP Basic Rate Coupled with dependent(s)
calc_main_benefit,JSP_S_ND_arate_1,0.5,fortnight,JSP First abatement rate Single no dependent
calc_main_benefit,JSP_S_ND_arate_2,0.6,fortnight,JSP Second abatement rate Single no dependent
calc_main_benefit,JSP_S_ND_athresh_1,104,fortnight,JSP First abatement threshold Single no dependent
calc_main_benefit,JSP_S_ND_athresh_2,254,fortnight,JSP Second abatement threshold Single no dependent
calc_main_benefit,PP_S_pay,737.1,fortnight,Parenting Payment Single amount
calc_main_benefit,PP_C_pay,476.4,fortnight,Parenting Payment Couple amount
calc_main_benefit,PP_S_athresh_base,188.6,fortnight,"PPS abatement threshold, one child"
calc_main_benefit,PP_S_athresh_2,213.2,fortnight,"PPS abatement threshold, two children"
calc_main_benefit,PP_S_athresh_3,237.8,year,"PPS abatement threshold, three children"
